"Cassidinae.sp1" "Alticini.sp1" "Eumolpinae.sp1" "Galerucinae.sp1" "Alticini.sp2" "Alticini.sp3" "Eumolpinae.sp2" "Alticini.sp4" "Galerucinae.sp2" "Eumopinae.sp5" "Alticini.sp5" "Galerucinae.sp3" "Cryptocephalinae.sp1" "Galerucinae.sp4" "Alticini.sp6" "Cassidinae.sp2" "Eumolpinae.sp3" "Alticini.sp7" "Alticini.sp8" "Alticini.sp9" "Alticini.sp10" "Eumolpinae.sp4" "Cassidinae.sp3" "Eumolpinae.sp6" "Bruchinae.sp1" "Alticini.sp11" "Alticini.sp12" "Alticini.sp13" "Alticini.sp14" "Eumolpinae.sp7" "Cryptocephalinae.sp2" "Cryptocephalinae.sp3" "Alticini.sp16" "Alticini.sp17" "Galerucinae.sp5" "Hispini.sp1" "Alticini.sp18" "Alticini.sp19" "Eumolpinae.sp8" "Alticini.sp21" "Cryptocephalinae.sp4" "Eumolpinae.sp9" "Cassidinae.sp4" "Cassidinae.sp5" "Eumolpinae.sp10" "Alticini.sp22" "Alticini.sp23" "Eumolpinae.sp11" "Eumolpinae.sp12" "Cryptocephalinae.sp5" "Eumolpinae.sp13" "Eumolpinae.sp14" "Eumolpinae.sp15" "Alticini.sp24" "Alticini.sp25" "Alticini.sp26" "Cassidinaae.sp6" "Cassidinaae.sp7" "Eumolpinae.sp16" "Alticini.sp27" "Eumolpinae.sp17" "Alticini.sp28" "Eumolpinae.sp18" "Alticini.sp29" "Hispini.sp2" "Eumolpinae.sp19" "Hispini.sp3" "Hispini.sp4" "Eumolpinae.sp20" "Alticini.sp31" "Galerucinae.sp6" "Alticini.sp32" "Eumolpinae.sp21" "Eumolpinae.sp22" "Eumolpinae.sp23" "Cryptocephalinae.sp6" "Cryptocephalinae.sp7" "Eumolpinae.sp24" "Alticini.sp33" "Eumolpinae.sp25" "Eumolpinae.sp26" "Clytrini.sp1" "Eumolpinae.sp27" "Alticini.sp34" "Eumolpinae.sp28" "Eumolpinae.sp29" "Cassidinae.sp8" "Cryptocephalinae.sp8" "Alticini.sp35" "Alticini.sp36" "Bruchinae.sp2" "Galerucinae.sp7" "Bruchinae.sp3" "Alticini.sp37" "Alticini.sp38" "Alticini.sp39" "Cassidinae.sp9" "Hispini.sp5" "Hispini.sp6"
"1" 0 7 0 0 0 0 0 13 0 0 1 0 0 0 30 0 0 0 0 3 8 3 0 0 0 0 0 0 0 3 0 0 2 1 0 0 0 0 0 0 0 0 1 1 4 2 2 2 0 1 1 3 0 0 0 0 2 0 0 0 1 1 1 1 1 1 2 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"2" 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 0 4 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"3" 0 0 0 0 0 0 1 1 1 1 1 2 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 1 14 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 1 0 0 0 0 0 0 1 0 0
"8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 2 1 1 2 1 0 0 0 0 0 0 0 2 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
